condition,mean_activation
W,-0.0002247432418016615
W,-0.000833835388872864
W,-0.000517610565271336
W,-0.0007461487185973594
W,-0.0004929546240025595
W,-0.0005875038730418594
W,-0.0002221515390731708
W,-0.0012961099339324335
W,-0.0012009731451549479
W,-0.0006335015122301359
W,-0.0009116731278143153
W,-0.0003438590037142734
W,-0.0002999812447808613
W,-0.0004175748077261455
W,-0.0009593667598159189
W,-0.00034551256327845016
W,-0.0007909800753950271
W,-0.0008844801535164551
W,-0.00044941317118317025
W,-0.000886532259674563
W,-0.0013638058072343387
W,-0.00037034092179287747
W,-0.00012290571775238555
W,-0.0007859420565883199
W,-0.0008089530453313397
W,-0.000973044224020223
W,-0.0005871841523462628
W,-0.0005649154898594356
W,-0.0005114531979754655
W,-0.0008457159529612278
W,-0.0011329695474853684
W,-0.00042644947564812177
W,-0.0010875836204685843
W,-0.0008166699291617691
W,-0.0005603797854927488
W,-0.0008524868914350361
W,-0.0007031943069283183
W,-0.0007280181013141151
W,-0.0004745868239526818
W,-0.0011858142961268547
W,-0.0004799319967717992
W,-0.0012555245638191546
W,-0.0005700059094551204
W,-0.0007161015369278249
W,-0.0009126192476623963
W,-0.0002908645221943553
W,-0.00026083068690540206
W,-0.0003819766215182964
W,-0.0005856637965245441
W,-0.0007857823367040899
W,-0.0005781093034155377
W,-0.0006777281672403121
W,-0.0002520550974927411
W,-0.00035493784865275765
W,-0.0003819766215182964
W,-0.00069116216134575
W,-0.0004587163136956666
W,-0.00029696056942809114
W,-0.00012092502833049404
W,-0.0008898531970749034
W,-0.00040852763930611125
W,-0.00027990565513623644
W,-0.0005645578717864124
W,-0.0005109917425478002
W,-0.001176974411632391
W,-0.000446919886566
W,-0.0005664011577840827
W,-0.0008739422466349851
W,-0.0008285998271269805
W,-0.000911250546404777
W,-0.00044196268691343754
W,-0.0004694417938839372
W,-0.0009065105825881375
W,-0.0006294719982740704
W,-0.000920788906648099
W,-0.0006738582908313646
W,-0.0003010988165830004
W,-0.0007440629972372372
W,-0.00021212309508258638
W,-0.0008219599852058151
W,-0.000654783732420119
W,-0.0003922669878863639
W,-0.00027558116701872063
W,-0.0006237683587143266
W,-0.00017150831458055256
W,-0.00046122374608469785
W,-0.0008683935842282386
W,-0.0004074788257175711
W,-0.0004511824664980534
W,-0.00039307947600737323
W,-0.0011540885688108972
W,-0.0003446446627182867
W,-0.0006370529887850093
W,-0.00026164712366320305
W,-0.0004090998663353006
W,-0.00089299848205275
W,-0.00016942833983080163
W,-0.00017395998493992344
W,-0.00011849985447748176
W,-0.0001835054493461271
W,-0.0008539997765443072
W,-0.00022410808304468855
W,-0.0004462926143560253
W,-0.0005889248222286726
W,-0.0005607082664424728
W,-0.0006417285753335429
W,4.39751890544172e-05
W,-0.0007971828978311026
W,-0.0008189314502747688
W,-0.0004687768296964596
W,-0.00040866715462009763
W,-0.0013582572786633915
W,-0.0012440046666609083
W,-0.00017216461164981428
W,-0.0005946538722661658
W,-0.0011123151055248948
W,-0.0005988868334180107
W,-0.00021293747907430324
W,-0.0011429597663109514
W,-0.000664841129835214
W,-0.0007920158169322256
W,-0.0007776003691182435
W,0.00018724883553875084
W,-0.0011664061808945156
W,-0.00050714233238676
W,-0.0005420401969087964
W,-0.0007075419094870976
W,-0.0008285972768907858
W,-0.0004031972764545228
W,-0.0001369996460973235
W,-0.0003746767809520072
W,-0.0004131235109250941
W,-0.0004563327818191608
W,-0.00044076668562606107
W,-0.00022552485809541748
W,-0.0005678995736885262
W,-0.0009372784601920586
W,-0.0006317030623050618
W,-0.0003236232745144267
W,-0.0004927466198792825
